GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Report/migration-adapter,io.vanillabp.integration.adapter.migration.processervice,MigrationProcessService,25,23,0,0,11,7,10,2,10,2
JaCoCo Report/migration-adapter,io.vanillabp.integration.config,WorkflowModuleAdapterProperties,15,0,0,0,6,0,2,0,2,0
JaCoCo Report/migration-adapter,io.vanillabp.integration.config,MigrationAdapterProperties,11,623,7,39,4,122,7,40,0,24
JaCoCo Report/migration-adapter,io.vanillabp.integration.config,MigrationAdapterProperties.new HashMap() {...},0,25,1,1,0,6,1,2,0,2
JaCoCo Report/vanillabp-quarkus-integration,io.vanillabp.integration.runtime.processservice,ProcessServiceCdiBeanRecorder,0,15,0,0,0,2,0,3,0,3
JaCoCo Report/vanillabp-quarkus-integration,io.vanillabp.integration.runtime.processservice,TransactionInterceptor,21,3,0,0,4,1,1,1,1,1
JaCoCo Report/vanillabp-quarkus-integration,io.vanillabp.integration.runtime.processservice,ProcessServiceCdiBean,0,10,0,0,0,3,0,2,0,2
JaCoCo Report/vanillabp-quarkus-integration,io.vanillabp.integration.runtime.processservice.config,QuarkusMigrationAdapterPropertiesBuilder,0,7,0,0,0,2,0,2,0,2
JaCoCo Report/vanillabp-quarkus-integration-deployment,io.vanillabp.integration.deployment,VanillaBpIntegrationProcessor.new InterceptorBindingRegistrar() {...},0,12,0,0,0,2,0,2,0,2
JaCoCo Report/vanillabp-quarkus-integration-deployment,io.vanillabp.integration.deployment,VanillaBpIntegrationProcessor,5,142,0,2,2,47,0,8,0,7
JaCoCo Report/vanillabp-quarkus-integration-deployment,io.vanillabp.integration.deployment.config,QuarkusMigrationAdapterTransformer,48,415,6,28,6,91,6,26,0,15
JaCoCo Report/vanillabp-quarkus-integration-deployment,io.vanillabp.integration.deployment.config,QuarkusMigrationAdapterPropertiesConfigBuilderCustomizer,0,15,0,0,0,3,0,2,0,2
JaCoCo Report/vanillabp-quarkus-integration-tests,io.vanillabp.integration.it,VanillaBpIntegrationResource,5,0,0,0,2,0,2,0,2,0
JaCoCo Report/vanillabp-spring-boot-support,io.vanillabp.integration.config,SpringBootMigrationAdapterTransformer,0,458,2,26,0,94,2,27,0,15
JaCoCo Report/vanillabp-spring-boot-support,io.vanillabp.integration.adapters,AdapterConfigurationBase,0,3,0,0,0,1,0,1,0,1
JaCoCo Report/vanillabp-spring-boot-support,io.vanillabp.integration.modules,WorkflowModuleProperties,3,12,0,0,1,5,1,2,1,2
JaCoCo Report/vanillabp-spring-boot-support,io.vanillabp.integration.utils,ClasspathScanner,10,260,2,26,2,58,3,20,1,8
JaCoCo Report/vanillabp-spring-boot-support,io.vanillabp.integration.processservice,SpringBootMigrationAdapterAutoConfiguration,10,95,0,0,4,41,0,7,0,7
